city_name,city_population,city_lat,city_lon
Астрахань,529000,46.349,48.037
Владимир,356000,56.129,40.409
Волгоград,1010000,48.708,44.513
Воронеж,1030000,51.668,39.196
Екатеринбург,1490000,56.838,60.605
Ижевск,650000,56.852,53.204
Казань,1250000,55.830,49.066
Киров,500000,58.596,49.666
Краснодар,1020000,45.035,38.976
Махачкала,600000,42.985,47.502
Москва,12500000,55.755,37.617
Набережные Челны,530000,55.746,52.402
Нижний Новгород,1250000,56.296,43.936
Оренбург,570000,51.768,55.096
Пенза,520000,53.195,45.019
Пермь,1000000,58.010,56.250
Ростов-на-Дону,1100000,47.235,39.701
Саратов,840000,51.533,46.034
Самара,1170000,53.195,50.100
Ставрополь,350000,45.044,41.979
Тамбов,300000,52.721,41.433
Уральск,350000,51.227,51.227
Уфа,1150000,54.738,55.972
Челябинск,1200000,55.160,61.402
Элиста,100000,46.308,44.268
Ярославль,600000,57.626,39.879
