route_from,route_to,route_max_speed,route_max_weight,route_capacity
Астрахань,Махачкала,110,40,5000
Астрахань,Уральск,90,20,4000
Астрахань,Волгоград,110,40,5000
Астрахань,Элиста,90,15,3000
Владимир,Москва,130,44,8000
Владимир,Ярославль,110,20,6000
Владимир,Нижний Новгород,110,40,7000
Владимир,Казань,110,40,6500
Волгоград,Астрахань,110,40,5000
Волгоград,Элиста,90,15,4000
Волгоград,Саратов,110,40,5500
Волгоград,Тамбов,90,20,4500
Волгоград,Ростов-на-Дону,110,40,6000
Воронеж,Ростов-на-Дону,110,40,7000
Воронеж,Саратов,110,40,6500
Воронеж,Тамбов,90,20,5000
Воронеж,Москва,130,44,8000
Екатеринбург,Пермь,110,40,6000
Екатеринбург,Челябинск,110,44,5500
Екатеринбург,Набережные Челны,90,20,4000
Ижевск,Пермь,110,40,6000
Ижевск,Набережные Челны,90,40,4500
Казань,Набережные Челны,110,40,7000
Казань,Оренбург,110,40,6500
Казань,Киров,110,40,6000
Казань,Нижний Новгород,110,40,7000
Казань,Самара,110,40,7500
Казань,Владимир,110,40,6500
Киров,Пермь,110,20,6000
Киров,Казань,110,40,6500
Киров,Ярославль,110,20,6000
Краснодар,Ставрополь,110,40,7000
Краснодар,Ростов-на-Дону,110,40,7500
Махачкала,Астрахань,110,40,5000
Махачкала,Ставрополь,110,20,6500
Москва,Ярославль,130,44,8000
Москва,Владимир,130,44,8000
Москва,Воронеж,130,44,8000
Москва,Пенза,130,40,7500
Москва,Тамбов,130,40,7000
Набережные Челны,Казань,110,40,7000
Набережные Челны,Ижевск,90,40,4500
Набережные Челны,Уфа,90,40,5000
Набережные Челны,Екатеринбург,90,40,4000
Нижний Новгород,Пенза,110,40,7000
Нижний Новгород,Казань,110,40,7500
Нижний Новгород,Владимир,110,40,7000
Оренбург,Уфа,110,40,6500
Оренбург,Уральск,90,20,4000
Оренбург,Казань,110,40,7000
Оренбург,Самара,110,40,7500
Пенза,Самара,110,40,7000
Пенза,Саратов,110,40,6500
Пенза,Тамбов,110,40,6000
Пенза,Москва,130,44,7500
Пенза,Нижний Новгород,110,40,7000
Пермь,Ижевск,110,40,6000
Пермь,Киров,110,20,6500
Пермь,Екатеринбург,110,40,7000
Пермь,Уфа,110,40,7500
Ростов-на-Дону,Ставрополь,110,40,7500
Ростов-на-Дону,Краснодар,110,40,8000
Ростов-на-Дону,Воронеж,110,40,7000
Ростов-на-Дону,Волгоград,110,40,7500
Саратов,Волгоград,110,40,6500
Саратов,Воронеж,110,40,6000
Саратов,Тамбов,110,40,5500
Саратов,Уральск,90,20,4000
Саратов,Пенза,110,40,6500
Саратов,Самара,110,40,7000
Самара,Оренбург,110,40,7000
Самара,Уфа,110,40,7500
Самара,Казань,110,40,8000
Самара,Уральск,90,40,5000
Самара,Пенза,110,40,7000
Самара,Саратов,110,40,7500
Ставрополь,Махачкала,110,20,6500
Ставрополь,Краснодар,110,40,7000
Ставрополь,Ростов-на-Дону,110,40,7500
Ставрополь,Элиста,90,40,4000
Тамбов,Москва,130,40,7000
Тамбов,Воронеж,110,40,6500
Тамбов,Саратов,110,40,6000
Тамбов,Волгоград,110,40,5500
Тамбов,Пенза,110,40,5000
Уральск,Оренбург,90,20,4000
Уральск,Самара,90,40,4500
Уральск,Саратов,90,20,4000
Уральск,Астрахань,90,20,5000
Уфа,Челябинск,110,44,7000
Уфа,Оренбург,110,40,7500
Уфа,Набережные Челны,90,40,5000
Уфа,Самара,110,40,8000
Уфа,Пермь,110,40,7500
Челябинск,Уфа,110,44,7000
Челябинск,Екатеринбург,110,44,7500
Элиста,Волгоград,90,40,4000
Элиста,Астрахань,90,40,5000
Элиста,Ставрополь,90,15,4000
Ярославль,Москва,130,44,8000
Ярославль,Киров,110,20,6000
Ярославль,Владимир,110,40,6500
